ticker,name,sector,sub_industry,ai_density_2023,mda_length,note,rank_desc_in_sector,rank_asc_in_sector,group
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,0.0107,861804, full_text_fallback,27.0,2.0,middle
RTX,RTX Corporation,Industrials,Aerospace & Defense,0.0127,658040, full_text_fallback,28.0,1.0,middle
RF,Regions Financial Corporation,Financials,Regional Banks,0.02,906701, full_text_fallback,22.0,7.0,middle
RMD,ResMed,Health Care,Health Care Equipment,0.2336,488472, full_text_fallback,3.0,19.0,middle
HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,0.0656,605072, full_text_fallback,12.0,17.0,middle
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,0.0718,391041, full_text_fallback,9.0,20.0,middle
SPGI,S&P Global,Financials,Financial Exchanges & Data,0.2064,566669, full_text_fallback,5.0,24.0,middle
CRM,Salesforce,Information Technology,Application Software,0.4778,446744, full_text_fallback,16.0,43.0,middle
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,0.0653,292729, full_text_fallback,2.0,3.0,middle
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",0.2192,475621, full_text_fallback,33.0,26.0,middle
NOW,ServiceNow,Information Technology,Systems Software,0.4637,373788, full_text_fallback,17.0,42.0,middle
SWKS,Skyworks Solutions,Information Technology,Semiconductors,0.1641,315339, full_text_fallback,41.0,18.0,middle
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,0.0159,499148, full_text_fallback,25.0,4.0,middle
STT,State Street Corporation,Financials,Asset Management & Custody Banks,0.0326,1095843, full_text_fallback,18.0,11.0,middle
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",0.2377,608539, full_text_fallback,30.0,29.0,middle
SYF,Synchrony Financial,Financials,Consumer Finance,0.0245,659875, full_text_fallback,21.0,8.0,middle
SNPS,Synopsys,Information Technology,Application Software,0.6067,448489, full_text_fallback,12.0,47.0,middle
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,0.124,390172, full_text_fallback,45.0,14.0,middle
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,0.0624,486946, full_text_fallback,48.0,11.0,middle
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,0.0206,739657,used 2024 filing full_text_fallback,11.0,2.0,middle
TTD,Trade Desk (The),Communication Services,Advertising,0.0589,393338, full_text_fallback,8.0,5.0,middle
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,0.0361,955291, full_text_fallback,16.0,13.0,middle
TRMB,Trimble Inc.,Information Technology,Application Software,0.0451,376925, full_text_fallback,53.0,6.0,middle
UBER,Uber,Industrials,Passenger Ground Transportation,0.0629,728158, full_text_fallback,11.0,18.0,middle
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,0.0919,479546, full_text_fallback,8.0,21.0,middle
VZ,Verizon,Communication Services,Integrated Telecommunication Services,0.0157,572131, full_text_fallback,12.0,1.0,middle
V,Visa Inc.,Financials,Transaction & Payment Processing Services,0.4187,479623, full_text_fallback,1.0,28.0,middle
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,0.0228,370137, full_text_fallback,21.0,8.0,middle
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,0.0898,608956, full_text_fallback,7.0,6.0,middle
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",0.0192,410145, full_text_fallback,55.0,4.0,middle
WDAY,"Workday, Inc.",Information Technology,Application Software,0.5284,429372, full_text_fallback,15.0,44.0,middle
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,0.1638,364365, full_text_fallback,42.0,17.0,middle
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,0.1619,411049, full_text_fallback,5.0,17.0,middle
ZTS,Zoetis,Health Care,Pharmaceuticals,0.0435,551756, full_text_fallback,12.0,10.0,middle
